state,state_abbr,restriction_desc,restriction_type,Policy Type,restriction_date
Alabama,AL,State of emergency issued,start,Notification,2020-03-13 00:00:00
Alabama,AL,State of emergency lifted,end,Notification,2021-07-06 00:00:00
Alabama,AL,State of emergency reinstated,start,Notification,2021-08-13 00:00:00
Alabama,AL,Date closed K-12 public schools,start,Contact Reduction,2020-03-20 00:00:00
Alabama,AL,Closed day cares,start,Contact Reduction,2020-03-20 00:00:00
Alabama,AL,Reopen day cares,end,Contact Reduction,2020-05-23 00:00:00
Alabama,AL,Date banned visitors to nursing homes,start,Contact Reduction,2020-03-19 00:00:00
Alabama,AL,Stay at home/ shelter in place,start,Contact Reduction,2020-04-04 00:00:00
Alabama,AL,End/relax stay at home/shelter in place,end,Contact Reduction,2020-04-30 00:00:00
Alabama,AL,Closed other non-essential businesses,start,Contact Reduction,2020-03-28 00:00:00
Alabama,AL,Began to reopen businesses,end,Contact Reduction,2020-04-30 00:00:00
Alabama,AL,Face mask mandate in public spaces,start,Mask/Vaccine Mandate,2020-07-16 00:00:00
Alabama,AL,Face mask mandate for employees of public-facing businesses,start,Mask/Vaccine Mandate,2020-05-11 00:00:00
Alabama,AL,Face mask mandate end for fully vaccinated,end,Mask/Vaccine Mandate,2021-04-09 00:00:00
Alabama,AL,Ended face mask mandate,end,Mask/Vaccine Mandate,2021-04-09 00:00:00
Alabama,AL,Allowed restaurants to sell takeout alcohol,start,Contact Reduction,2020-03-24 00:00:00
Alabama,AL,Allowed restaurants to deliver alcohol,start,Contact Reduction,2020-03-24 00:00:00
Alabama,AL,Closed restaurants except take out,start,Contact Reduction,2020-03-19 00:00:00
Alabama,AL,Reopen restaurants,end,Contact Reduction,2020-05-11 00:00:00
Alabama,AL,Closed gyms,start,Contact Reduction,2020-03-28 00:00:00
Alabama,AL,Reopened gyms,end,Contact Reduction,2020-05-11 00:00:00
Alabama,AL,Closed movie theaters,start,Contact Reduction,2020-03-28 00:00:00
Alabama,AL,Reopened movie theaters,end,Contact Reduction,2020-05-22 00:00:00
Alabama,AL,Closed Bars,start,Contact Reduction,2020-03-19 00:00:00
Alabama,AL,Reopen bars,end,Contact Reduction,2020-05-11 00:00:00
Alabama,AL,Reopened hair salons/barber shops,end,Contact Reduction,2020-05-11 00:00:00
Alabama,AL,Reopened religious gatherings,end,Contact Reduction,2020-05-11 00:00:00
Alabama,AL,Reopened other non-essential retail,end,Contact Reduction,2020-04-30 00:00:00
Alabama,AL,Date vaccine allocation plan last updated,start,Notification,2021-03-22 00:00:00
Alabama,AL,Date adults ages 80+ became eligible for COVID-19 vaccination,start,Notification,2021-01-18 00:00:00
Alabama,AL,Date adults ages 75+ became eligible for COVID-19 vaccination,start,Notification,2021-01-18 00:00:00
Alabama,AL,Date adults ages 70+ became eligible for COVID-19 vaccination,start,Notification,2021-02-08 00:00:00
Alabama,AL,Date adults ages 65+ became eligible for COVID-19 vaccination,start,Notification,2021-02-08 00:00:00
Alabama,AL,Date adults ages 60+ became eligible for COVID-19 vaccination,start,Notification,2021-03-22 00:00:00
Alabama,AL,Date adults ages 55+ became eligible for COVID-19 vaccination,start,Notification,2021-03-22 00:00:00
Alabama,AL,Date adults ages 50+ became eligible for COVID-19 vaccination,start,Notification,2021-04-05 00:00:00
Alabama,AL,Date adults ages 45+ became eligible for COVID-19 vaccination,start,Notification,2021-04-05 00:00:00
Alabama,AL,Date adults ages 40+ became eligible for COVID-19 vaccination,start,Notification,2021-04-05 00:00:00
Alabama,AL,Date adults ages 30+ became eligible for COVID-19 vaccination,start,Notification,2021-04-05 00:00:00
Alabama,AL,Date K-12 school employees became eligible for COVID-19 vaccination,start,Notification,2021-02-08 00:00:00
Alabama,AL,Date grocery store workers became eligible for COVID-19 vaccination,start,Notification,2021-02-08 00:00:00
Alabama,AL,Date incarcerated people became eligible for COVID-19 vaccination,start,Notification,2021-04-12 00:00:00
Alabama,AL,Date general public became eligible for COVID-19 vaccination,start,Notification,2021-04-05 00:00:00
Alabama,AL,First overall eviction moratorium start,start,Notification,2020-04-03 00:00:00
Alabama,AL,First overall eviction moratorium end,end,Notification,2020-06-01 00:00:00
Alabama,AL,First eviction enforcement ban start,start,Notification,2020-04-03 00:00:00
Alabama,AL,First eviction enforcement ban end,end,Notification,2020-06-01 00:00:00
Alabama,AL,Non-payment limitation start,start,Notification,2020-05-08 00:00:00
Alabama,AL,Non-payment limitation end,end,Notification,2020-06-01 00:00:00
Alabama,AL,SNAP Waiver - Emergency Allotments to Current SNAP Households,start,Notification,2020-03-24 00:00:00
Alabama,AL,SNAP Waiver - Pandemic EBT during school year 2019-2020,start,Notification,2020-04-21 00:00:00
Alabama,AL,Modify Medicaid requirements with 1135 waivers (date of CMS approval),start,Notification,2020-03-23 00:00:00
Alabama,AL,Allow audio-only telehealth,start,Notification,2020-03-22 00:00:00
Alabama,AL,Allow/expand Medicaid telehealth coverage,start,Notification,2020-03-16 00:00:00
Alabama,AL,Stopped personal visitation in state prisons,start,Contact Reduction,2020-03-13 00:00:00
Alabama,AL,Stopped legal visitation in state prisons,start,Contact Reduction,2020-03-13 00:00:00
Alabama,AL,Suspended elective medical procedures,start,Notification,2020-03-19 00:00:00
Alabama,AL,Resumed elective medical procedures,end ,Notification,2020-04-30 00:00:00
Alabama,AL,Waived one week waiting period for unemployment insurance,start,Notification,2020-03-16 00:00:00
Alabama,AL,Extended Benefits program activated,start,Notification,2020-05-31 00:00:00
Alabama,AL,Extended Benefits program deactivated,end,Notification,2020-09-26 00:00:00
Alabama,AL,Stopped participating in pandemic-related federal unemployment benefit programs,end,Notification,2021-06-19 00:00:00
Alabama,AL,Use of telemedicine for schedule II-V prescriptions,start,Notification,2020-03-20 00:00:00
Alabama,AL,Closed casinos,start,Contact Reduction,2020-03-28 00:00:00
Alabama,AL,Reopened casinos,end,Contact Reduction,2020-05-22 00:00:00
Alaska,AK,State of emergency issued,start,Notification,2020-03-11 00:00:00
Alaska,AK,State of emergency lifted,end,Notification,2021-04-30 00:00:00
Alaska,AK,Date closed K-12 public schools,start,Contact Reduction,2020-03-16 00:00:00
Alaska,AK,Stay at home/ shelter in place,start,Contact Reduction,2020-03-28 00:00:00
Alaska,AK,End/relax stay at home/shelter in place,end,Contact Reduction,2020-04-24 00:00:00
Alaska,AK,Closed other non-essential businesses,start,Contact Reduction,2020-03-24 00:00:00
Alaska,AK,Began to reopen businesses,end,Contact Reduction,2020-04-24 00:00:00
Alaska,AK,Face mask mandate in public spaces,start,Mask/Vaccine Mandate,2020-04-24 00:00:00
Alaska,AK,Face mask mandate for employees of public-facing businesses,start,Mask/Vaccine Mandate,2020-04-24 00:00:00
Alaska,AK,Face mask mandate end for fully vaccinated,end,Mask/Vaccine Mandate,2021-05-22 00:00:00
Alaska,AK,Ended face mask mandate,end,Mask/Vaccine Mandate,2020-05-22 00:00:00
Alaska,AK,Allowed restaurants to sell takeout alcohol,start,Contact Reduction,2020-03-17 00:00:00
Alaska,AK,Allowed restaurants to deliver alcohol,start,Contact Reduction,2020-03-17 00:00:00
Alaska,AK,Closed restaurants except take out,start,Contact Reduction,2020-03-18 00:00:00
Alaska,AK,Reopen restaurants,end,Contact Reduction,2020-04-24 00:00:00
Alaska,AK,Closed gyms,start,Contact Reduction,2020-03-18 00:00:00
Alaska,AK,Reopened gyms,end,Contact Reduction,2020-05-08 00:00:00
Alaska,AK,Closed movie theaters,start,Contact Reduction,2020-03-18 00:00:00
Alaska,AK,Reopened movie theaters,end,Contact Reduction,2020-05-08 00:00:00
Alaska,AK,Closed Bars,start,Contact Reduction,2020-03-18 00:00:00
Alaska,AK,Reopen bars,end,Contact Reduction,2020-05-08 00:00:00
Alaska,AK,Reopened hair salons/barber shops,end,Contact Reduction,2020-04-24 00:00:00
Alaska,AK,Reopened religious gatherings,end,Contact Reduction,2020-05-08 00:00:00
Alaska,AK,Reopened other non-essential retail,end,Contact Reduction,2020-04-24 00:00:00
Alaska,AK,Mandate quarantine for all individuals entering the state,start,Contact Reduction,2020-03-25 00:00:00
Alaska,AK,Date all mandated quarantines ended,end,Contact Reduction,2021-02-14 00:00:00
Alaska,AK,Date vaccine allocation plan last updated,start,Notification,2021-03-03 00:00:00
Alaska,AK,Date adults ages 80+ became eligible for COVID-19 vaccination,start,Notification,2021-01-11 00:00:00
Alaska,AK,Date adults ages 75+ became eligible for COVID-19 vaccination,start,Notification,2021-01-11 00:00:00
Alaska,AK,Date adults ages 70+ became eligible for COVID-19 vaccination,start,Notification,2021-01-11 00:00:00
Alaska,AK,Date adults ages 65+ became eligible for COVID-19 vaccination,start,Notification,2021-01-11 00:00:00
Alaska,AK,Date adults ages 60+ became eligible for COVID-19 vaccination,start,Notification,2021-03-03 00:00:00
Alaska,AK,Date adults ages 55+ became eligible for COVID-19 vaccination,start,Notification,2021-03-03 00:00:00
Alaska,AK,Date adults ages 50+ became eligible for COVID-19 vaccination,start,Notification,2021-03-09 00:00:00
Alaska,AK,Date adults ages 45+ became eligible for COVID-19 vaccination,start,Notification,2021-03-09 00:00:00
Alaska,AK,Date adults ages 40+ became eligible for COVID-19 vaccination,start,Notification,2021-03-09 00:00:00
Alaska,AK,Date adults ages 30+ became eligible for COVID-19 vaccination,start,Notification,2021-03-09 00:00:00
Alaska,AK,Date K-12 school employees became eligible for COVID-19 vaccination,start,Notification,2021-02-11 00:00:00
Alaska,AK,Date grocery store workers became eligible for COVID-19 vaccination,start,Notification,2021-03-03 00:00:00
Alaska,AK,Date incarcerated people became eligible for COVID-19 vaccination,start,Notification,2021-02-11 00:00:00
Alaska,AK,Date general public became eligible for COVID-19 vaccination,start,Notification,2021-03-09 00:00:00
Alaska,AK,First overall eviction moratorium start,start,Notification,2020-03-23 00:00:00
Alaska,AK,First overall eviction moratorium end,end,Notification,2020-07-01 00:00:00
Alaska,AK,First eviction initiation ban start,start,Notification,2020-04-10 00:00:00
Alaska,AK,First eviction initiation ban end,end,Notification,2020-07-01 00:00:00
Alaska,AK,First eviction hearing ban start,start,Notification,2020-03-23 00:00:00
Alaska,AK,First eviction hearing ban end,end,Notification,2020-04-24 00:00:00
Alaska,AK,COVID-19 hardship limitation start,start,Notification,2020-04-10 00:00:00
Alaska,AK,COVID-19 hardship limitation end,end,Notification,2020-07-01 00:00:00
Alaska,AK,Non-payment limitation start,start,Notification,2020-04-10 00:00:00
Alaska,AK,Non-payment limitation end,end,Notification,2020-07-01 00:00:00
Alaska,AK,CDC moratorium start,start,Notification,2020-09-04 00:00:00
Alaska,AK,CDC moratorium end,end,Notification,2021-08-01 00:00:00
Alaska,AK,SNAP Waiver - Emergency Allotments to Current SNAP Households,start,Notification,2020-04-01 00:00:00
Alaska,AK,SNAP Waiver - Pandemic EBT during school year 2019-2020,start,Notification,2020-06-05 00:00:00
Alaska,AK,Modify Medicaid requirements with 1135 waivers (date of CMS approval),start,Notification,2020-04-02 00:00:00
Alaska,AK,Allow audio-only telehealth,start,Notification,2020-03-17 00:00:00
Alaska,AK,Allow/expand Medicaid telehealth coverage,start,Notification,2020-03-20 00:00:00
Alaska,AK,Stopped personal visitation in state prisons,start,Contact Reduction,2020-03-13 00:00:00
Alaska,AK,Stopped legal visitation in state prisons,start,Contact Reduction,2020-03-13 00:00:00
Alaska,AK,Resumed visitation in state prisons,end,Contact Reduction,2021-03-17 00:00:00
Alaska,AK,Suspended elective medical procedures,start,Notification,2020-03-19 00:00:00
Alaska,AK,Resumed elective medical procedures,end ,Notification,2020-04-20 00:00:00
Alaska,AK,Waived one week waiting period for unemployment insurance,start,Notification,2020-03-18 00:00:00
Alaska,AK,Extended Benefits program activated,start,Notification,2020-05-03 00:00:00
Alaska,AK,20-week Extended Benefits program activated,start,Notification,2020-07-05 00:00:00
Alaska,AK,20-week Extended Benefits program deactivated,end,Notification,2020-12-12 00:00:00
Alaska,AK,Stopped participating in pandemic-related federal unemployment benefit programs,end,Notification,2021-06-12 00:00:00
Arizona,AZ,State of emergency issued,start,Notification,2020-03-11 00:00:00
Arizona,AZ,Date closed K-12 public schools,start,Contact Reduction,2020-03-16 00:00:00
Arizona,AZ,Stay at home/ shelter in place,start,Contact Reduction,2020-03-31 00:00:00
Arizona,AZ,End/relax stay at home/shelter in place,end,Contact Reduction,2020-05-16 00:00:00
Arizona,AZ,Closed other non-essential businesses,start,Contact Reduction,2020-03-31 00:00:00
Arizona,AZ,Began to reopen businesses,end,Contact Reduction,2020-05-08 00:00:00
Arizona,AZ,Face mask mandate for employees of public-facing businesses,start,Mask/Vaccine Mandate,2020-05-08 00:00:00
Arizona,AZ,Face mask mandate end for fully vaccinated,end,Mask/Vaccine Mandate,2021-03-25 00:00:00
Arizona,AZ,Ended face mask mandate,end,Mask/Vaccine Mandate,2021-03-25 00:00:00
Arizona,AZ,Banned school face mask mandates,start,Mask/Vaccine Mandate,2021-06-30 00:00:00
Arizona,AZ,Banned other local face mask mandates,start,Mask/Vaccine Mandate,2021-03-25 00:00:00
Arizona,AZ,Judicial decision blocked state from enforcing bans on face mask mandates,end,Mask/Vaccine Mandate,2021-09-26 00:00:00
Arizona,AZ,Allowed restaurants to sell takeout alcohol,start,Contact Reduction,2020-03-19 00:00:00
Arizona,AZ,Allowed restaurants to deliver alcohol,start,Contact Reduction,2020-03-19 00:00:00
Arizona,AZ,Closed restaurants except take out,start,Contact Reduction,2020-03-21 00:00:00
Arizona,AZ,Reopen restaurants,end,Contact Reduction,2020-05-11 00:00:00
Arizona,AZ,Closed gyms,start,Contact Reduction,2020-03-21 00:00:00
Arizona,AZ,Reopened gyms,end,Contact Reduction,2020-05-13 00:00:00
Arizona,AZ,Closed movie theaters,start,Contact Reduction,2020-03-21 00:00:00
