state,contact_reduce_num,notification_num,mask_vaccine_num,Strictness,Strict_Label,cases,deaths,population,infection_ratio,fatality_ratio
Rhode Island,19,36,4,1.0,Strict,109850741,1688164.0,1097379.0,100.10282773772781,1.538360037872057
Pennsylvania,18,37,4,0.9766081871345029,Strict,862088635,17686178.0,13002700.0,66.30074023087512,1.3601927292023965
District of Columbia,14,34,6,0.9590643274853801,Strict,40268288,723725.0,689545.0,58.39834673589106,1.0495689186347519
District of Columbia,14,34,6,0.9590643274853801,Strict,40268288,723725.0,689545.0,58.39834673589106,1.0495689186347519
Oregon,16,33,5,0.9532163742690059,Strict,184776808,2174360.0,4237256.0,43.607657408473784,0.5131528517512277
Illinois,16,33,5,0.9532163742690059,Strict,1003789402,16325451.0,12812508.0,78.34448977514785,1.274180745877388
New Mexico,16,32,5,0.9473684210526315,Strict,156796607,2717521.0,2117522.0,74.04721509386916,1.2833495944788296
Massachusetts,17,40,3,0.9064327485380117,Strict,518401044,11482924.0,7029917.0,73.74212867662591,1.6334366394368525
Washington,14,34,5,0.9005847953216374,Strict,388522399,4433121.0,7705281.0,50.42287218337657,0.575335409571695
New York,15,38,4,0.8947368421052632,Moderate,1546095621,35976831.0,20201249.0,76.53465491168393,1.780921120273306
Michigan,16,33,4,0.8947368421052632,Moderate,712777273,13824051.0,10077331.0,70.73075926552377,1.3717968577195687
Texas,15,32,4,0.8596491228070176,Moderate,2200578907,34210783.0,29145505.0,75.50320047636848,1.173792768387441
Arizona,17,30,3,0.847953216374269,Moderate,650613676,11347967.0,7151502.0,90.97580843856298,1.5867949138516637
Delaware,14,34,4,0.8421052631578947,Moderate,79911597,1132465.0,989948.0,80.72302484574948,1.1439641274087125
Louisiana,15,28,4,0.8362573099415205,Moderate,397218907,7593527.0,4657757.0,85.28115721794846,1.6302969433570709
California,11,36,5,0.8245614035087719,Moderate,2810120533,36935467.0,39538223.0,71.07351620228354,0.9341711437056743
Kentucky,15,35,3,0.8187134502923976,Moderate,379542997,4852954.0,4505836.0,84.23364654195137,1.0770374243536605
Vermont,16,35,2,0.7894736842105263,Lax,25219645,194841.0,643077.0,39.21714662474323,0.3029823800260311
Minnesota,14,34,3,0.783625730994152,Lax,444241775,4968270.0,5706494.0,77.84846089385181,0.8706344035409482
Arkansas,13,28,4,0.7777777777777778,Lax,268300581,4056767.0,3011524.0,89.09129762870892,1.347081079214378
Montana,14,32,3,0.7719298245614035,Lax,85971577,1131403.0,1084225.0,79.29311443657912,1.0435131084415135
